Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,MW,RO5_violations,AlogP,Compound Key,Smiles,Standard Type,IC50,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Year,Cell ChEMBL ID,Properties,pIC50,is_active
CHEMBL512770,ISONEOCRYPTOLEPINE HYDROCHLORIDE,0,268.75,0.0,3.3,"4, isoneocryptolepine",C[n+]1cc2[nH]c3ccccc3c2c2ccccc21.[Cl-],IC50,5240000000.0,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL997303,Inhibition of beta-hematin formation by BHIA assay,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1923,Histidine-rich protein,Plasmodium falciparum,SINGLE PROTEIN,CHEMBL1158751,1,Scientific Literature,J. Nat. Prod.,2005.0,None,,9.719331286983726,0
CHEMBL416376,,0,396.45,0.0,2.84,37,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,IC50,21120.0,nM,4.67,,,UO_0000065,,,,,False,CHEMBL769667,In vitro antimalarial activity against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L) ,F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,4.324693913861775,0
CHEMBL416376,,0,396.45,0.0,2.84,37,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,IC50,110.0,nM,,,,UO_0000065,,,,,False,CHEMBL769668,In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L),F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,2.041392685158225,1
CHEMBL118602,,0,364.45,0.0,3.38,54,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,IC50,760.0,nM,6.12,,,UO_0000065,,,,,False,CHEMBL769666,In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum TM4/8.2 wtDHFR,F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,2.8808135922807914,1
CHEMBL117,CHRYSIN,0,254.24,0.0,2.87,8,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,IC50,10000.0,nM,5.0,,,UO_0000065,19.67,0.36,2.13,7.08,False,CHEMBL859171,Inhibition of FabG,B,BAO_0000357,single protein format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL4513,3-oxoacyl-acyl-carrier protein reductase,Plasmodium falciparum,SINGLE PROTEIN,CHEMBL1148505,1,Scientific Literature,J. Med. Chem.,2006.0,None,,4.0,0
CHEMBL151,LUTEOLIN,2,286.24,0.0,2.28,12,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,4000.0,nM,5.4,,,UO_0000065,18.86,0.35,3.12,4.86,False,CHEMBL859171,Inhibition of FabG,B,BAO_0000357,single protein format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL4513,3-oxoacyl-acyl-carrier protein reductase,Plasmodium falciparum,SINGLE PROTEIN,CHEMBL1148505,1,Scientific Literature,J. Med. Chem.,2006.0,None,,3.6020599913279625,0
CHEMBL21395,,0,350.42,0.0,3.21,31,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,IC50,14360.0,nM,4.84,,,UO_0000065,,,,,False,CHEMBL769484,In vitro antimalarial activity against Plasmodium falciparum Csl-2 triple DHFR mutant (C59R/S108N/I164L)/,F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,4.157154439906281,0
CHEMBL21395,,0,350.42,0.0,3.21,31,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,IC50,16470.0,nM,4.78,,,UO_0000065,,,,,False,CHEMBL769667,In vitro antimalarial activity against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L) ,F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,4.216693599169754,0
CHEMBL564804,,0,500.64,1.0,3.41,SYM-35,COc1ccccc1C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)c1ccccc1OC,IC50,25000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1061807,Inhibition of Plasmodium falciparum plasmepsin-1 in fluorescence microplate assay,B,BAO_0000357,single protein format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL4687,Plasmepsin 1,Plasmodium falciparum,SINGLE PROTEIN,CHEMBL1153582,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,None,,4.3979400086720375,0
CHEMBL119224,,0,292.34,0.0,3.02,35,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,IC50,2860.0,nM,5.54,,,UO_0000065,,,,,False,CHEMBL769666,In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum TM4/8.2 wtDHFR,F,BAO_0000019,assay format,Plasmodium falciparum,None,None,None,None,,,,CHEMBL1939,Dihydrofolate reductase,Plasmodium falciparum K1,SINGLE PROTEIN,CHEMBL1148379,1,Scientific Literature,J. Med. Chem.,2004.0,None,,3.456366033129043,0
